Longitud,Latitud,Valor
-71.15220,-32.03140,0.90000
-71.30720,-32.06080,0.80000
-71.22250,-32.06750,0.70000
-71.40610,-32.06860,0.90000
-70.80000,-32.08360,0.70000
-71.31250,-32.10860,0.60000
-71.50000,-32.11750,0.70000
-71.16280,-32.14440,0.80000
-71.03000,-32.15670,0.70000
-71.37220,-32.17280,0.90000
-70.78330,-32.18360,0.60000
-70.83940,-32.21500,0.50000
-70.60440,-32.22560,0.80000
-70.78390,-32.22610,0.60000
-70.71000,-32.22860,0.60000
-71.13860,-32.25280,0.70000
-70.99970,-32.27560,0.50000
-70.98890,-32.27860,0.30000
-70.64140,-32.30060,0.50000
-71.07920,-32.30580,0.70000
-71.24250,-32.30750,0.70000
-70.73810,-32.33000,0.50000
-70.75280,-32.34080,0.70000
-71.09310,-32.39140,0.70000
-71.37500,-32.39190,0.80000
-70.68080,-32.41860,0.80000
-70.91670,-32.42610,0.70000
-71.06060,-32.42670,0.70000
-71.20670,-32.43720,0.70000
-70.93190,-32.48560,0.70000
-70.57890,-32.49890,0.80000
-70.58110,-32.50170,0.60000
-71.12940,-32.53330,0.90000
-70.70000,-32.56690,0.60000
-70.86940,-32.58640,0.80000
-71.43220,-32.59190,0.80000
-71.19640,-32.65310,1.00000
-70.60000,-32.68360,0.70000
-70.93420,-32.73440,0.70000
-70.72470,-32.74720,0.60000
-70.73670,-32.75720,0.50000
-71.26530,-32.81190,1.10000
-70.60000,-32.83360,0.70000
-71.02560,-32.84030,0.70000
-70.50940,-32.85030,0.70000
-71.11670,-32.85060,1.10000
-70.47190,-32.86030,0.90000
-71.20920,-32.89580,0.90000
-70.35530,-32.92280,1.30000
-70.81780,-32.93190,0.70000
-70.80640,-32.94720,0.90000
-70.75360,-32.94750,0.80000
-71.34500,-32.95780,1.10000
-70.99330,-33.00530,1.50000
-70.90810,-33.01940,0.90000
-71.58330,-33.05030,1.30000
-71.10000,-33.05060,1.20000
-70.76860,-33.07580,0.60000
-70.80170,-33.08560,0.60000
-70.92780,-33.08690,0.80000
-71.21440,-33.09860,1.40000
-71.55530,-33.14500,1.90000
-71.34280,-33.15420,1.20000
-71.14670,-33.16860,1.70000
-71.29140,-33.28970,1.10000
-71.41310,-33.32780,1.00000
-70.52860,-33.32920,1.30000
-70.36360,-33.34140,0.90000
-70.36360,-33.34140,1.30000
-70.45080,-33.37030,1.00000
-70.39610,-33.37330,0.80000
-70.53670,-33.39500,1.10000
-70.53440,-33.43280,1.00000
-71.02560,-33.43860,0.90000
-71.45060,-33.43940,1.00000
-70.64440,-33.44860,0.80000
-71.28110,-33.47970,1.00000
-70.81670,-33.49610,0.60000
-70.51640,-33.49640,1.20000
-70.51440,-33.50170,1.10000
-70.26170,-33.53110,1.10000
-70.81670,-33.55030,0.80000
-71.10610,-33.56970,0.80000
-71.62500,-33.57470,1.10000
-70.48530,-33.59140,1.70000
-70.37920,-33.59390,0.80000
-71.51060,-33.63440,1.10000
-70.35310,-33.63610,1.40000
-71.33720,-33.66140,0.80000
-70.58690,-33.67360,1.20000
-70.08860,-33.67670,1.50000
-71.19970,-33.68030,1.00000
-70.92360,-33.69580,1.00000
-70.33420,-33.70670,1.30000
-71.55500,-33.72190,0.50000
-71.15140,-33.75970,1.20000
-70.23940,-33.78250,1.60000
-70.87830,-33.80440,1.00000
-70.21720,-33.81640,2.10000
-71.66310,-33.86220,1.20000
-70.87750,-33.88580,1.40000
-71.24080,-33.89080,1.30000
-70.19810,-33.89940,2.10000
-71.73360,-33.94580,1.50000
-71.09440,-34.03500,1.30000
-70.70830,-34.05560,1.60000
-71.18860,-34.08330,1.30000
-71.10000,-34.11670,1.80000
-71.72580,-34.12060,1.90000
-70.75080,-34.19080,1.10000
-71.27640,-34.20330,1.40000
-70.55060,-34.24030,1.30000
-70.32810,-34.24670,2.20000
-70.61530,-34.25830,1.90000
-71.37170,-34.27310,0.90000
-71.40580,-34.28720,1.50000
-71.08000,-34.28750,1.70000
-70.37640,-34.34640,2.00000
-72.00440,-34.38440,1.30000
-70.86670,-34.42170,1.40000
-70.77940,-34.43690,1.60000
-71.05060,-34.45170,1.60000
-70.70940,-34.49220,2.30000
-71.21220,-34.52640,1.90000
-71.76530,-34.57420,1.60000
-70.96860,-34.59830,1.90000
-71.35000,-34.61690,2.30000
-70.82670,-34.71860,1.50000
-70.75190,-34.74280,2.90000
-71.13310,-34.76940,1.80000
-71.41420,-34.78080,2.10000
-71.62890,-34.80560,1.90000
-71.74860,-34.86610,1.80000
