"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"India","IND","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","1083","","","","",
"No clasificado","INX","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","1118","","","","",
"Irán, República Islámica del","IRN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","228","","","","",
"Iraq","IRQ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","216","","","","",
"Islandia","ISL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","1940","","","","",
"Israel","ISR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","435","","","","",
"Italia","ITA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","832","","","","",
"Jamaica","JAM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","2051","","","","",
"Jordania","JOR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","111","","","","",
"Japón","JPN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","1668","","","","",
"Kazajstán","KAZ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","250","","","","","250","","","","","250","","","","","250","","250","","","","",
"Kenya","KEN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","630","","","","",
"Kirguistán","KGZ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533","","","","","533","","","","","533","","","","","533","","","","","533","","533","","","","",
"Camboya","KHM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","1904","","","","",
"Kiribati","KIR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","","",
"Saint Kitts y Nevis","KNA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","1427","","","","",
"Corea, República de","KOR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","1274","","","","",
"Kuwait","KWT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","121","","","","",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Democrática Popular Lao","LAO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","1834","","","","",
"Líbano","LBN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","661","","","","",
"Liberia","LBR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","2391","","","","",
"Libia","LBY","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","56","","","","",
"Santa Lucía","LCA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","2301","","","","",
"América Latina y el Caribe","LCN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países de ingreso bajo","LIC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","","",
"Sri Lanka","LKA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","1712","","","","",
"Países de ingreso mediano bajo","LMC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ingreso mediano y bajo","LMY","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","788","","","","",
"avanzada del dividendo demográfico","LTE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lituania","LTU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","656","","","","","656","","","","","656","","","","","656","","","","","656","","656","","","","",
"Luxemburgo","LUX","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","934","","","","",
"Letonia","LVA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641","","","","","641","","","","","641","","","","","641","","","","","641","","641","","","","",
"Región Administrativa Especial de Macao, China","MAC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isla de San Martín (parte francesa)","MAF","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marruecos","MAR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","346","","","","",
"Mónaco","MCO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República de Moldova","MDA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","","","","450","","","","","450","","","","","450","","","","","450","","450","","","","",
"Madagascar","MDG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","1513","","","","",
"Maldivas","MDV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","1972","","","","",
"Oriente Medio y Norte de África","MEA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"México","MEX","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","758","","","","",
"Islas Marshall","MHL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","","",
" Ingreso mediano","MIC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ex República Yugoslava de Macedonia","MKD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","619","","","","","619","","","","","619","","","","","619","","","","","619","","619","","","","",
"Malí","MLI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","282","","","","",
"Malta","MLT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","560","","","","",
"Myanmar","MMR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","2091","","","","",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","","",
"Mongolia","MNG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","241","","","","",
"Mariana","MNP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","1032","","","","",
"Mauritania","MRT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","92","","","","",
"Mauricio","MUS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","2041","","","","",
"Malawi","MWI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","1181","","","","",
"Malasia","MYS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","2875","","","","",
"América del Norte","NAC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","285","","","","",
"Nueva Caledonia","NCL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Níger","NER","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","151","","","","",
"Nigeria","NGA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","1150","","","","",
"Nicaragua","NIC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","2280","","","","",
"Países Bajos","NLD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","778","","","","",
"Noruega","NOR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","1414","","","","",
"Nepal","NPL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","1500","","","","",
"Nauru","NRU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","","",
"Nueva Zelandia","NZL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","1732","","","","",
"Miembros OCDE","OED","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Omán","OMN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","125","","","","",
"Otros Estados pequeos","OSS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistán","PAK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","494","","","","",
"Panamá","PAN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","2928","","","","",
"Perú","PER","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","1738","","","","",
"Filipinas","PHL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","2348","","","","",
"Palau","PLW","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","","",
"Papua Nueva Guinea","PNG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","3142","","","","",
"Polonia","POL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","600","","","","",
"previa al dividendo demográfico","PRE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","2054","","","","",
"Corea, República Popular Democrática de","PRK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","1054","","","","",
"Portugal","PRT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","854","","","","",
"Paraguay","PRY","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","1130","","","","",
"Ribera Occidental y Gaza","PSE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","402","","","","",
"Estados pequeos de las Islas del Pacfico","PSS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"posterior al dividendo demográfico","PST","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Polinesia Francesa","PYF","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","74","","","","",
"Rumania","ROU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","637","","","","",
"Federación de Rusia","RUS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","","","","","460","","","","","460","","","","","460","","","","","460","","460","","","","",
"Rwanda","RWA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","1212","","","","",
"Asia meridional","SAS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arabia Saudita","SAU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","59","","","","",
"Sudán","SDN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","250","","250","","","","",
"Senegal","SEN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","686","","","","",
"Singapur","SGP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","2497","","","","",
"Islas Salomón","SLB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","3028","","","","",
"Sierra Leona","SLE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","2526","","","","",
"El Salvador","SLV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","1784","","","","",
"San Marino","SMR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","282","","","","",
"Serbia","SRB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","","",
"África al sur del Sahara (excluido altos ingresos)","SSA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sudán del Sur","SSD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","495","","","","","495","","","","","495","","","","","495","","","","","900","","900","","","","",
"África al sur del Sahara","SSF","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pequeños Estados","SST","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Santo Tomé y Príncipe","STP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","3200","","","","",
"Suriname","SUR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","2331","","","","",
"República Eslovaca","SVK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497","","","","","824","","","","","824","","","","","824","","","","","824","","824","","","","",
